Gene,iPS0,iPS4,iPS7,iPS10,iPS15,iPS20
Tst,3.38072,32.32716667,27.72013333,41.03803333,20.17176667,22.35626667
Trim62,2.251373333,0.313991667,0.289439333,0.390277333,0.381666333,0.318621333
Fzd1,20.34483333,1.316238,0.794634,0.935746333,0.630750333,0.81764
Plod3,269.052,41.2159,41.01276667,35.4554,40.84346667,47.77936667
Ap1s1,273.3013333,118.65,100.9351667,105.0566667,107.8806667,98.588
Zcchc24,45.03593333,1.959353333,0.589204333,0.715002667,1.39815,2.612793333
Plekho2,44.4589,18.19856667,7.927683333,4.147296667,2.64401,3.730146667
Lyar,40.234,93.6909,97.12956667,125.9646667,121.9966667,142.698
Zfp759,0.698131667,2.27284,2.6609,2.579096667,2.573546667,2.578763333
Celsr1,0.065342667,1.71449,5.790296667,5.266953333,8.718633333,6.920253333
Nlk,9.984296667,16.87326667,24.8889,35.81113333,44.31936667,37.0405
Phf7,2.318436667,5.197156667,5.41176,6.24704,8.617173333,11.12566667
Btd,16.97966667,9.28261,6.633,5.917766667,5.42114,4.635886667
Slc9a3r2,23.45086667,1.359003333,1.493626667,1.155686667,1.634863333,1.693783333
Ttc28,10.34483667,5.98552,3.349886667,1.726886667,1.296033333,1.478996667
Armc10,17.75363333,38.3371,41.84553333,50.84773333,53.4241,47.0831
Krt80,4.35787,0.695046667,0.277615333,0.742755333,0.396498,0.213164067
Grhl3,0.142486,1.338353333,4.419016667,5.304353333,5.267336667,5.7168
Arsb,16.37083333,3.579913333,4.01721,2.45583,2.193956667,1.950026667
Spred3,12.28516667,3.8168,4.96655,3.794113333,7.337143333,4.185033333
Mxd4,46.60343333,19.63833333,17.15496667,18.6592,7.958153333,4.700846667
Pla2g12a,12.31333333,23.53466667,29.11926667,27.73616667,33.44703333,33.58906667
Tlr2,2.676973333,1.545443333,0.931146667,0.960918,0.680032667,0.597026667
Ccdc109b,39.18913333,1.774787333,1.007805,1.250894333,1.714,2.113513333
Dynlt3,149.77,53.61096667,53.8768,32.98826667,26.8612,34.54626667
Rpgr,1.725393333,4.38458,6.254976667,4.895446667,5.882586667,5.683566667
Atp6v0e2,3.678063333,23.98423333,26.56,25.43266667,22.42556667,27.5202
Vti1b,152.743,44.6837,44.55606667,51.70646667,47.55906667,56.70766667
Mcm7,50.0547,297.373,249.8503333,227.172,194.1723333,199.5366667
Smpd1,48.67283333,11.8972,11.79716667,10.37839333,10.69306667,10.12596667
Lmna,546.327,146.4116667,90.88213333,68.2913,42.95643333,64.87186667
Pmf1,26.87766667,73.91086667,64.53536667,66.0118,52.1389,67.31596667
Sema4a,0.154271,1.117701,2.03877,4.00781,6.37123,8.552736667
Klf11,1.637106667,5.015126667,6.134626667,4.04484,6.446873333,7.923013333
Zfand3,54.04583333,25.37676667,19.93816667,21.29386667,18.43116667,17.87313333
Grem1,162.5446667,2.293483333,0.462684333,0.944338333,2.230916667,2.673633333
Bcl2l11,3.833236667,4.74614,9.211943333,9.03397,9.678576667,7.680656667
Zc3h8,2.360016667,4.75482,7.34039,11.57413333,14.07666667,15.36733333
Myo9b,34.76566667,19.60373333,18.8008,15.15476667,17.1352,14.81596667
Epb4.1l5,1.29112,3.32479,7.96478,7.511373333,8.04775,6.772926667
Trim16,38.4096,30.78293333,19.44696667,15.47993333,5.658693333,4.40519
Pygo2,47.51906667,27.86446667,24.00863333,22.8424,25.5832,22.21296667
Cfl2,87.17303333,39.1019,31.4488,26.6725,20.36746667,24.3602
Bspry,0.221819333,0.549247,11.1374,19.32546667,21.22143333,19.3608
Dqx1,0.357378667,1.477883333,2.03674,2.487786667,2.349456667,2.481146667
C77080,6.16503,10.16644333,25.8914,25.81086667,27.39476667,24.84876667
Commd7,40.8563,16.7541,11.30546667,15.4847,19.00506667,20.0009
Gemin6,12.87593333,25.1787,23.14853333,26.30386667,31.49796667,32.7023
Pick1,10.38111,21.61493333,37.36016667,40.76573333,53.06576667,54.46096667
Serinc1,199.0183333,80.9277,61.73023333,64.91453333,57.04583333,39.11523333
Smpdl3a,20.6148,6.070656667,6.026536667,6.153316667,5.711516667,3.861583333
Pofut2,97.86916667,19.58753333,13.1849,15.4128,17.0556,17.32926667
Dag1,70.35443333,32.70243333,30.3915,21.51676667,16.46776667,17.16873333
Mettl20,2.35568,6.801883333,5.85705,6.06744,9.424543333,8.887286667
Spcs3,78.89666667,38.8092,36.04723333,37.4735,36.6124,37.4062
2810008M24Rik,84.9429,35.47086667,36.7065,35.4911,32.5587,32.1543
Fam101b,35.47836667,3.879373333,6.322453333,5.118443333,2.856883333,2.713386667
Blmh,38.25636667,100.7339333,101.6525667,112.67,130.8733333,116.8973333
Cpd,24.6734,16.09443333,10.27099,5.640923333,4.27355,5.540343333
Rhbdd1,19.17386667,5.514566667,4.32339,4.629546667,4.88557,7.37542
Nhp2,97.8738,192.1566667,183.7036667,274.74,301.159,279.9863333
Flt3,0.951741667,1.292593333,1.549973333,3.152096667,5.785416667,5.37361
Fzd4,3.190746667,1.49861,0.921709,0.492613,0.462256,0.744116667
Pcyt1b,2.70511,12.6911,14.54043333,12.73553333,12.04806667,9.407763333
N4bp3,0.489120667,3.856413333,5.01975,8.568,19.6328,16.94626667
Mfsd5,56.77986667,22.17016667,17.5867,25.06266667,19.77726667,16.68883333
Ccdc57,0.785576,1.78033,2.534626667,3.192276667,5.219356667,4.39793
Golga3,25.4646,12.11746667,11.5449,11.48853333,11.23013333,10.58423333
Stoml2,110.4026667,242.766,223.6146667,229.518,230.1246667,279.4516667
Pigo,5.88991,11.93303333,13.63636667,17.42573333,17.079,16.1803
Fancg,3.299933333,12.73736667,14.40786667,10.87394,13.37226667,11.56206667
Tesk1,33.68786667,12.24213333,12.91386667,13.8491,9.342943333,9.058763333
Snx33,12.37593333,2.226456667,1.370236667,1.215338,0.947236,0.657959333
Cdc25c,7.631833333,20.29273333,21.01793333,17.3333,16.3802,21.09223333
Snta1,19.20653333,1.389473333,1.58327,0.848103333,1.081806667,2.479276667
Gldc,0.252709,7.116993333,26.03316667,45.86303333,65.75926667,64.7944
Mbtd1,6.671966667,37.1988,66.0616,52.0096,60.64346667,43.2283
Rab33b,12.17593333,3.75905,3.595313333,2.715366667,2.753913333,2.330313333
Tfap4,2.445563333,18.75873333,17.3238,19.3564,15.9671,13.63723333
Snrpn,15.4614,28.1031,41.71886667,49.06313333,48.52116667,48.38583333
Stx4a,83.97866667,35.77616667,36.94663333,33.1404,27.10023333,28.45026667
Zbtb38,16.53153333,5.424026667,4.774916667,3.657476667,2.842033333,3.002456667
Gyltl1b,0.1121077,1.67798,10.98727,8.807846667,9.256856667,10.28714
Atxn1,5.754603333,0.957423667,0.735979667,0.388407667,0.326050667,0.572407667
Bdp1,6.46824,14.72453333,18.416,16.2684,15.49886667,13.88746667
Spop,105.1027667,83.09186667,48.8668,47.03173333,52.3769,47.9025
Mir17hg,0.811078667,5.898416667,10.4664,12.53493333,7.85531,8.186213333
Fermt2,151.876,68.54863333,55.86513333,43.81393333,29.48706667,33.8591
Tom1l2,23.28226667,8.741506667,9.02166,9.438746667,8.289386667,6.356326667
Fam176b,62.92153333,10.48774667,4.722253333,2.79134,3.951513333,6.158963333
Nthl1,8.39328,13.80856667,18.5147,17.2441,19.60916667,27.2262
Meis3,16.8289,2.799496667,1.6652,2.601133333,9.147963333,6.158433333
Tmem45a,22.3669,1.799813333,1.003740333,1.302605333,2.187521,2.497016667
Galnt4,7.068856667,3.712813333,3.553966667,3.401886667,2.480766667,1.87723
1110012J17Rik,6.542223333,25.50693333,38.43596667,38.31953333,46.97766667,45.0107
Entpd7,5.9041,2.104466667,1.68953,1.757226667,1.38887,1.457216667
Cbx1,36.2993,75.23786667,83.7148,99.6643,108.8523333,114.5883333
Ctsl,483.269,59.2863,59.58643333,67.73576667,108.4693333,134.2926667
Sparc,2467.05,215.835,145.685,98.3766,47.06803333,60.187
Lbr,19.32036667,50.57416667,41.53076667,44.2114,41.25496667,43.07013333
St14,1.616113333,13.3022,56.21516667,82.3138,67.08303333,56.82343333
Jam3,38.33436667,13.33763333,8.02394,8.927353333,12.46933333,14.16396667
Spc24,7.907436667,61.82116667,55.29933333,58.02643333,44.4687,52.6841
Gins3,2.95205,7.674563333,7.25347,6.997613333,6.6557,7.203796667
Sall1,0.240474333,3.960123333,8.017803333,10.04033,6.864713333,6.898446667
Guf1,9.774703333,19.845,25.1037,22.0473,19.58346667,21.78156667
Zfp449,4.746103333,2.025583333,1.79776,0.863887,1.242563333,1.690023333
Ugdh,194.565,34.2014,17.65523333,18.51186667,13.8575,13.66033333
Fam89b,52.8823,14.56136667,7.75006,8.26558,9.92231,9.12696
Ncaph,14.59626667,62.83453333,70.5033,64.44676667,51.18623333,52.3502
Rnf11,103.1640667,20.20846667,21.0153,18.34636667,16.76373333,16.74953333
Cobll1,16.968,2.720023333,1.633153333,0.772924,0.485741,0.544650333
Osbpl9,75.48016667,35.91573333,34.7924,32.58123333,28.00213333,30.99756667
Aph1a,13.63173333,6.78787,5.48006,5.25545,5.258206667,4.453733333
Myd88,20.25593333,7.708406667,4.61011,4.0501,4.894693333,5.10518
Slc39a7,217.6283333,71.94996667,66.8759,60.90473333,63.02176667,65.75303333
St3gal1,17.69833333,0.622044667,0.652672,1.66775,3.043063333,3.510843333
Cgrrf1,28.16306667,8.014643333,6.285333333,5.630223333,5.464133333,7.106943333
Arhgap24,16.7206,0.844751667,0.543918,0.300014667,0.252358667,0.330731
Aasdh,3.991373333,8.35982,15.8199,11.29635333,15.3775,25.29683333
Ctdsp2,64.18323333,74.00083333,50.58583333,28.6083,18.76273333,16.6744
Zcwpw1,0.884727,12.47696,19.22293333,15.17883333,23.6272,17.49963333
Mocos,1.715936667,0.192345667,0.241101333,0.527412333,0.278876,0.448892
Agpat5,12.10286667,34.5777,36.56806667,38.43086667,33.52666667,25.2254
Tmem176a,42.2708,10.46990667,6.525056667,6.073883333,2.28302,1.063937667
Frk,7.65596,1.117163667,0.450326,0.467394667,0.206929667,0.0979169
Fbxo5,14.49653333,47.22933333,39.95856667,50.3998,41.7701,43.979
Tshz3,3.566193333,1.571796667,1.651883333,1.376783333,1.807393333,1.262536667
Sorbs3,33.4468,7.252786667,4.76231,1.73049,2.389396667,3.75278
Pdlim2,57.0741,2.40279,1.385153667,2.136976667,2.63171,2.250526667
Athl1,12.1315,9.41414,6.237006667,4.58959,5.21947,4.83489
Mlkl,8.372146667,0.876716,0.505775,0.365047333,0.552016,0.301346667
Rer1,167.4786667,79.78923333,64.96783333,72.17776667,67.44753333,68.465
Ak2,83.55666667,170.2223333,177.9163333,187.9996667,185.056,182.8483333
Rnf19b,52.2614,15.94866667,13.3426,21.64626667,20.44973333,25.1747
Phc2,102.2936667,58.8299,46.0541,44.87356667,35.1128,27.1746
Tm9sf3,96.3299,54.7854,47.02973333,45.2549,38.92943333,33.36566667
Ccnj,2.200043333,5.65868,5.8001,7.62867,7.963836667,5.480613333
Bhlhb9,9.312523333,34.08026667,35.95733333,33.31593333,30.18443333,29.27143333
Gprasp2,0.3331731,5.256386667,13.39536667,7.132006667,8.04303,12.20443333
Gsta4,14.4167,598.3236667,644.7226667,826.4693333,581.2833333,561.1036667
Mb21d1,1.373423333,0.760517,0.460547667,0.391428667,0.592724667,0.595406667
Neo1,28.9507,12.35883333,10.7946,6.761646667,5.81516,6.374776667
Slc39a1,110.937,34.67513333,25.02193333,20.2173,21.9036,21.11586667
Gid4,8.418993333,21.91526667,21.92036667,22.6968,25.63876667,23.0056
Anxa1,1753.176667,227.995,101.7332,181.5466667,49.8771,57.18563333
Frmd4a,31.38236667,18.8211,13.6642,7.537276667,8.92419,5.28481
Arhgap1,127.934,52.02733333,60.82866667,43.7935,45.07526667,42.89946667
Kidins220,28.5446,10.76529,11.73263333,9.72255,8.986356667,7.26998
Atg9a,20.60596667,8.900563333,10.12053333,6.66161,6.451973333,5.991753333
Igsf10,9.511003333,0.106879333,0.100035067,0.114757933,0.422489,0.442400667
Wdr76,2.066236667,12.7985,11.92316667,11.0969,10.9218,11.9241
Polq,1.269923333,3.22572,5.29122,4.242966667,4.28081,3.946776667
Loxl2,138.246,7.146213333,3.218056667,2.482336667,5.723463333,6.625983333
Chchd4,22.88783333,83.71053333,83.42796667,100.0860333,122.0793333,134.5123333
Gas2l1,60.5757,21.01686667,16.0975,20.41983333,18.77536667,13.5364
Errfi1,37.66123333,6.151513333,5.560886667,7.67022,7.037953333,6.007756667
Slc4a2,79.81936667,23.55566667,12.88887,14.31723333,10.94622667,7.208233333
Cdk5,25.57173333,12.7786,12.08673333,12.5453,11.89736667,11.15756667
Tbc1d8b,14.40726667,2.26031,1.444746667,1.092931333,0.790465333,0.485911333
Ykt6,104.6006667,42.33113333,39.16816667,49.177,53.24283333,48.8197
Syt5,0.162567,2.843463333,9.947936667,18.3983,17.13453333,8.632246667
Agl,11.59786667,5.74213,5.98516,4.491763333,3.81083,4.173143333
Rab27b,5.004273333,0.284379333,0.082911233,0.335971333,0.238620333,0.082868167
Sec11c,53.3102,9.098606667,9.160326667,11.50783333,13.13216667,13.85186667
Zbtb44,5.69414,12.76146667,18.82073333,16.84696667,15.92563333,17.28583333
Flrt2,64.9155,26.82476667,34.56146667,20.87263333,13.26836667,13.58533333
Adarb2,0.476202333,8.31668,11.971,17.20663333,15.15053333,21.8552
Enkd1,6.940696667,15.73723333,17.47583333,13.94236667,18.39046667,21.85053333
Cxcl12,359.0053333,0.222278867,0.236014333,1.307226667,1.24781,0.717658333
Erbb3,0.058537533,0.424925333,4.107073333,6.312113333,6.253633333,4.922213333
Camk2g,42.05983333,11.04626667,8.996313333,7.171113333,6.833176667,7.9166
Vcl,371.5273333,57.27246667,30.81086667,25.6332,15.34616667,16.20176667
Plau,124.8996667,0.625289667,0.207036,0.788860667,1.978216667,1.878006667
Maz,55.726,100.0425333,100.4408667,126.0293333,137.4553333,127.3366667
Kif22,20.43516667,72.22176667,63.37816667,62.19403333,61.498,76.46343333
Spon2,4.512533333,2.577153333,2.95834,1.6371,0.146023667,0.642528667
Hhat,8.27123,2.323046667,1.369796667,0.451175667,0.537252,0.480489
Enpp1,10.39406667,3.617883333,1.358896667,0.735222333,0.786697,0.905944333
Itgb1bp1,95.66423333,30.91576667,26.6657,31.7683,42.0101,39.88733333
Itm2a,41.87526667,6.02074,8.022606667,4.244043333,4.328626667,6.271243333
Magt1,48.40513333,28.55796667,24.2522,17.72216667,13.95476667,13.90176667
Ptpn21,18.35796667,4.93608,4.633766667,4.113026667,4.97679,5.085393333
Ccdc80,236.2296667,3.38194,2.473673333,3.298903333,3.490073333,2.801933333
BC030867,2.806916667,10.24344333,12.08773333,15.8826,21.34626667,26.5225
Tle2,11.23733,0.228391333,0.502747,0.445666733,0.387619,0.442763667
Bcorl1,3.389923333,10.43973333,16.72363333,16.44906667,16.0588,10.74067
Erap1,7.80175,6.583273333,6.010463333,5.097256667,5.044896667,3.15775
l7Rn6,50.73513333,82.41376667,90.07773333,94.7547,93.61626667,102.7535333
Tead4,9.94186,18.3298,19.47676667,18.45726667,21.07603333,24.50896667
Pcyt1a,27.7452,12.22823333,13.66386667,14.1784,13.74516667,12.57443333
Tnfsf11,9.19765,12.90373333,14.04246667,5.564026667,1.84928,1.360132
Akap11,15.123,10.01900667,10.82256667,8.546223333,6.3788,4.839013333
Mrps30,22.5326,38.20493333,33.82646667,39.46696667,42.67926667,47.04923333
E430025E21Rik,62.2713,44.3549,38.66926667,38.85296667,32.7391,28.65583333
Fbxo32,5.773026667,2.636476667,3.677913333,3.79505,1.602493333,0.829306333
Sord,6.249606667,9.20782,14.9746,10.43848667,9.73898,16.30406667
Mical3,3.598113333,2.976543333,5.391043333,6.49663,9.52444,8.139313333
Ccnb2,37.24943333,97.38786667,86.0363,62.07876667,70.75863333,96.099
Slc25a42,3.28942,6.885536667,8.286806667,6.406576667,5.64217,8.146353333
2310045N01Rik,52.61706667,33.6126,28.3997,31.23463333,22.2031,20.5768
Ccdc43,21.50283333,32.81106667,33.71396667,39.18733333,44.08783333,48.89013333
Ska2,16.9632,35.8551,32.07996667,32.87293333,30.9073,34.88253333
Zdhhc15,1.480886667,3.15409,3.662616667,2.95125,3.857096667,4.528083333
Nrf1,21.0342,35.33116667,33.5654,35.69503333,38.41003333,45.3937
D030056L22Rik,15.83846667,21.81846667,22.48826667,23.86463333,28.3781,33.21496667
Tulp4,60.6338,46.34346667,35.81953333,33.91403333,24.6755,20.53113333
Mocs2,44.60936667,26.06583333,20.81756667,24.48256667,20.18383333,20.24603333
2210404J11Rik,3.93862,6.180123333,6.41171,6.778223333,6.833196667,9.358683333
Tdp1,17.6436,32.49326667,35.28703333,28.60296667,32.0625,38.38376667
Rbm26,20.86943333,33.0241,44.4962,35.919,35.30343333,43.8475
Frs2,20.13193333,11.8707,12.3307,11.3156,8.78313,7.576803333
Ncln,119.141,78.12073333,66.19873333,72.7488,70.5304,54.5568
Gpd2,15.24506667,27.9255,26.71893333,29.1088,33.84576667,33.83486667
Dstn,706.1723333,226.1353333,283.491,354.634,278.2423333,323.462
Pir,8.29017,23.49923333,18.55153333,14.92576667,11.8058,17.55803333
Pttg1,45.91403333,78.92556667,97.26036667,83.44803333,117.7993333,170.714
Ssr1,49.84246667,31.2542,25.6233,27.0459,25.68796667,21.72163333
Gm5424,3.616756667,1.6274,1.557933333,1.834166667,0.871014,1.34533
Idi1,83.03526667,48.8209,32.1655,47.3068,30.03643333,21.40933333
Dnajc18,10.08263,7.703593333,7.765686667,5.63165,4.690466667,4.894086667
Tmed10,99.658,68.41696667,63.8795,54.42733333,49.81776667,47.46096667
Sdf4,144.5976667,81.3569,71.0573,76.4164,63.1319,71.5955
Rdh14,10.61153333,6.845326667,5.961946667,6.665586667,5.952013333,5.187296667
C1qbp,239.1686667,423.059,396.9703333,474.7126667,525.3903333,501.3823333
Dis3l,13.25786667,8.66781,6.003576667,6.664386667,5.745033333,6.09177
Dpp8,38.21923333,26.36113333,25.02643333,21.65713333,18.48443333,14.96406667
Vamp3,83.76856667,66.24873333,51.06323333,45.6595,27.69303333,32.6281
Dctn1,58.9777,40.6039,36.2811,30.00246667,26.7824,27.35783333
Sptlc2,141.6476667,102.7585333,92.85783333,83.6181,75.27893333,63.0238
Stambp,16.6431,10.572,9.216196667,9.35992,8.660213333,8.178546667
Birc5,71.5691,156.8603333,119.323,131.9776667,140.8376667,162.119
Xpc,4.749456667,8.662066667,9.612623333,8.731146667,10.94643333,11.5558
Wdr60,7.54791,4.38547,5.207883333,4.23665,4.48177,3.259856667
Prss12,2.297693333,4.43788,3.91823,4.559026667,0.538033667,0.379003667
Mospd1,18.06176667,11.94873333,9.19693,9.349223333,7.718986667,6.634066667
Ccdc123,13.418,20.90416667,27.40863333,25.4508,31.3403,31.49393333
Lancl1,21.63433333,33.64623333,41.45633333,36.7307,36.28346667,47.74033333
Plod2,97.12213333,51.99273333,67.21493333,51.85453333,34.37743333,32.927
Dpagt1,23.62953333,17.5477,13.41313333,14.93216667,13.42743333,10.59491333
Hmmr,22.08833333,47.28353333,49.32486667,39.74853333,45.825,58.94436667
Gtf2f2,28.22563333,41.8278,38.79243333,51.90803333,52.4022,58.04466667
Cyld,9.39591,6.617906667,5.295553333,5.009976667,3.408626667,3.702233333
Arhgef5,25.68626667,6.314303333,12.65523333,15.07343333,12.56183333,10.27063333
Kat2a,26.60026667,43.68843333,41.54363333,49.94056667,62.29766667,63.3981
Edem3,19.7866,9.307966667,8.91994,10.45549,9.660956667,8.223093333
Gfm2,12.71096667,19.39256667,21.99266667,22.4293,24.39686667,29.05363333
Plk4,15.84926667,31.96063333,30.70003333,28.6789,28.07503333,32.82373333
Thap7,30.01163333,18.9162,16.94323333,15.32126667,12.80846667,12.71203333
Rae1,51.2928,69.70346667,81.58356667,99.09293333,116.5856667,111.6363333
Vars2,12.1908,29.50383333,35.67756667,23.3565,32.0374,31.78703333
Cry1,5.15211,5.907143333,8.830483333,8.955236667,12.91903333,15.81836667
Gtpbp4,45.29516667,70.13563333,78.7789,89.85843333,87.72866667,92.11513333
Hspa1a,1.8033,0.954276,1.002875333,0.942351667,0.766008333,0.729035
1200014J11Rik,15.3796,23.54783333,23.30736667,26.4257,33.4145,31.70166667
Chmp3,125.8263333,66.38566667,62.89026667,65.04763333,63.7832,62.74063333
Ska1,3.188926667,6.75368,6.274726667,5.91488,6.20198,6.542276667
Dvl3,19.15913333,13.16936667,13.39806667,11.54766667,11.24983333,9.013603333
Fkbp5,16.0317,34.7518,33.742,30.12766667,43.2382,55.17793333
Rab2a,153.8783333,96.31923333,78.98136667,82.06926667,68.8877,65.67843333
Sat1,205.2876667,64.70126667,51.402,111.8436667,84.72146667,75.69786667
Prdx4,147.643,110.3243333,77.21073333,76.52673333,66.78806667,62.98643333
Nfya,13.27523333,21.9243,22.3407,22.54193333,26.8975,27.64173333
Pcgf2,21.58103333,29.1784,36.4948,40.84606667,48.72383333,53.0294
2310008H04Rik,7.374763333,14.2162,14.85716667,13.15763333,14.79056667,16.5373
Slc25a40,8.85773,12.65786667,17.59176667,13.47383333,11.87236667,18.19336667
Picalm,150.996,122.2826667,111.3496667,81.76483333,62.46363333,59.95873333
Bloc1s1,122.5193333,72.75876667,60.6376,65.04213333,63.86846667,54.1116
R3hdm1,14.17313333,23.44963333,29.52756667,25.6244,26.0742,28.4733
Pigy,4.22835,2.942616667,2.86036,2.76159,2.001203333,2.040813333
Chek2,7.132033333,13.99853333,16.4577,13.935,18.45656667,21.53786667
Syvn1,31.85716667,14.73163333,13.40546667,17.08846667,14.14316667,8.891103333
Senp5,33.02406667,17.03166667,18.17153333,18.74933333,18.07413333,13.26466667
Myst2,36.54756667,64.05233333,62.68356667,72.23646667,70.985,78.34353333
Ccng1,468.6026667,344.653,275.9406667,234.473,199.9813333,170.422
5730559C18Rik,2.71288,4.328156667,5.978236667,4.970883333,7.308456667,7.930566667
Mrpl45,34.64026667,61.38336667,64.59596667,63.3554,67.50303333,86.91813333
Zcchc17,49.5627,38.07133333,26.9527,32.50716667,22.07506667,21.25926667
Snx24,19.49583333,11.8685,13.2301,10.4063,8.596843333,8.13128
Nup188,25.37373333,48.1141,48.33033333,42.86046667,48.6804,55.58286667
Prickle1,6.689196667,5.307246667,4.5712,3.72258,3.925073333,2.1131
Vrk3,10.7202,13.49616667,16.15053333,18.83213333,22.91523333,21.95166667
2700094K13Rik,98.9619,206.4153333,174.69,160.4136667,149.1393333,215.8553333
Mrpl15,91.22013333,148.358,135.578,154.6536667,170.3236667,197.1266667
Zmpste24,56.34163333,30.12063333,29.92763333,30.96726667,23.94843333,19.6599
Rraga,86.06013333,49.5018,47.67286667,51.86166667,46.26286667,41.3976
Cdkn2a,271.601,160.606,156.6186667,142.785,91.88523333,85.6174
Elp3,32.4537,50.48783333,50.49163333,62.7803,86.0645,85.71423333
Zcchc3,3.45676,10.39266667,8.200746667,6.41938,6.944116667,7.35545
Rhno1,35.6243,73.19913333,78.9035,68.6918,71.0662,71.7429
Atr,5.024426667,10.8187,12.9846,9.98904,11.07573333,10.69333333
Kifc1,22.37086667,51.58593333,52.4372,44.3777,39.1949,50.01873333
Ahcy,13.45286667,28.108,24.03946667,25.73676667,29.4056,28.43193333
Dcps,22.93023333,49.07253333,45.81486667,45.64243333,54.61146667,62.72793333
Ttpal,20.6754,10.50765667,8.65421,10.75219333,9.397596667,5.54618
Ilf3,42.72826667,82.47843333,83.1808,76.35173333,75.50013333,86.00093333
Ctnnd1,196.2766667,114.947,120.5336667,124.6043333,116.9336667,90.9261
Sec23ip,32.55056667,20.54553333,18.90363333,21.40143333,17.81873333,16.087
D19Wsu162e,37.88956667,22.3422,18.2965,20.6821,19.0026,13.84753333
Josd2,65.85286667,38.24096667,31.15813333,37.17896667,28.7587,31.18596667
Hecw1,1.097017333,0.193027,0.155608667,0.685668,1.12693,0.259466
Mrpl1,8.129226667,12.87826667,11.95133333,14.5585,15.89533333,17.66716667
Lman2,68.73783333,44.55346667,35.1022,39.59096667,33.83093333,29.6405
Mrps6,128.0813333,68.64726667,49.38303333,67.19646667,59.05436667,59.86466667
Fsd1,2.59684,2.2938,5.987113333,5.01185,9.046233333,9.033023333
Hdx,0.684270333,0.965215667,1.622943333,1.197696667,1.948023333,1.65207
Ankrd26,2.34892,4.5537,4.73056,4.11502,5.165613333,5.212206667
Polr2e,74.02923333,133.4623333,142.6963333,147.0246667,150.9286667,175.0066667
Kif1c,81.92883333,72.43533333,64.56376667,49.85596667,42.14053333,35.91086667
Gm14391,0.925700333,0.976348,2.705573333,1.663523333,1.762673333,3.817023333
Hsbp1,137.2733333,67.96883333,67.2233,69.42293333,59.1178,68.63226667
Pla2g4b,8.528513333,18.0854,19.82146667,15.1981,18.9397,21.61813333
Tmed2,299.8673333,191.7643333,161.088,178.8653333,155.3143333,126.4443333
Arl6,10.48518,14.09106667,17.30823333,18.01976667,20.7815,24.29443333
Zkscan17,13.86966667,27.09326667,26.53216667,24.89356667,33.83643333,33.2005
Slc35e3,13.21076667,8.9083,8.85666,8.443346667,6.654083333,6.498186667
Ski,56.34326667,31.33096667,28.87573333,29.24256667,25.28563333,24.72666667
Hsp90aa1,795.039,1547.706667,1479.586667,1448.57,1479.1,1688.503333
Gstcd,9.075596667,20.915,21.00683333,16.7533,17.68573333,18.80343333
Chchd5,10.70204667,20.4837,19.8134,17.53316667,20.58136667,26.17786667
Vps18,14.21066667,8.072016667,7.381896667,7.52152,7.464033333,6.783286667
Wdr55,24.31743333,45.8004,42.55556667,44.89726667,52.64536667,50.19813333
Bcl10,56.17126667,31.66113333,26.46853333,32.35916667,23.48393333,26.00816667
Itpripl2,51.6131,37.2692,39.8424,29.83853333,16.5632,15.353
8430410K20Rik,36.71153333,23.94416667,23.8426,20.7917,19.5824,17.0538
Flnb,215.7183333,169.9483333,155.921,109.285,84.12686667,94.78873333
Abhd6,7.20002,11.27696667,11.5878,13.82173333,15.2484,14.83826667
H1f0,41.79963333,66.9334,78.89613333,65.38866667,108.4686667,86.9751
Chsy1,24.994,14.07306667,13.94993333,15.39566667,14.01053333,11.74313333
Uxs1,69.53433333,43.85376667,33.42173333,35.94613333,26.95676667,32.7789
Nufip1,8.319246667,14.25033333,15.17463333,16.5551,16.1829,20.85373333
Prr24,8.189713333,4.637236667,4.487113333,4.57421,2.867416667,3.622286667
Gtf2e1,12.73896667,17.93866667,20.75163333,21.93463333,26.2594,28.1794
Gab1,5.77673,18.985,22.04333333,10.89966667,8.213546667,14.45756667
Atp9b,18.41996667,11.3864,11.9437,12.14286667,9.225573333,6.983293333
Slc20a2,36.1916,27.10433333,19.0025,18.32573333,16.6732,17.07886667
Lmf2,41.37763333,23.12766667,23.95983333,24.0423,23.2376,20.60583333
Pfdn2,101.4081,160.4203333,168.987,169.7296667,196.0323333,237.6336667
Usp22,41.4039,77.066,80.88976667,76.03346667,116.387,92.38723333
AC147987.1,2.483926667,5.247573333,5.623673333,4.7706,7.444303333,8.09311
Slain2,27.6277,19.07966667,16.4698,17.8508,14.0212,11.57953333
Fadd,4.953176667,3.800246667,2.440146667,2.71503,2.182363333,2.08715
Ctdnep1,163.672,122.578,99.59896667,106.912,98.16553333,79.7477
Fhl1,224.6463333,141.723,132.6676667,148.4436667,81.12336667,54.06396667
Tmem38a,11.61443333,5.88097,8.011133333,5.950556667,5.23525,4.535153333
Rac1,349.5243333,266.282,220.3963333,206.8896667,175.785,165.081
Helb,4.076706667,6.439663333,7.88638,6.48668,7.937036667,9.885823333
Cep192,7.53228,12.94213333,15.88473333,12.48743333,16.3737,18.87843333
Ppp2r3c,12.49693333,23.56826667,24.48983333,20.13403333,28.13276667,34.70683333
Intu,1.10674,2.46599,4.767193333,1.976643333,2.964123333,3.315233333
