pathway	gene
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Itga6
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Cacng4
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Ryr2
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Ctnna1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Itga4
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Atp2a2
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Cacng2
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Dag1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Jup
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Pkp2
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Itgb7
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Cacnb4
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Cacnb2
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Sgcb
Ascorbate and aldarate metabolism	Aldh7a1
Ascorbate and aldarate metabolism	Ugt1a6a
Ascorbate and aldarate metabolism	Ugt1a9
Ascorbate and aldarate metabolism	Ugt2b35
Ascorbate and aldarate metabolism	Ugt1a6b
Ascorbate and aldarate metabolism	Ugt2b5
Ascorbate and aldarate metabolism	Ugt1a7c
Ascorbate and aldarate metabolism	Aldh9a1
Ascorbate and aldarate metabolism	Ugt2b34
Ascorbate and aldarate metabolism	Ugt2b37
Ascorbate and aldarate metabolism	Rgn
Ascorbate and aldarate metabolism	Ugt2a1
Ascorbate and aldarate metabolism	Ugt1a1
Ascorbate and aldarate metabolism	Ugt1a10
Ascorbate and aldarate metabolism	Ugt2a2
Ascorbate and aldarate metabolism	Aldh2
Ascorbate and aldarate metabolism	Ugt2b36
Ascorbate and aldarate metabolism	Ugt1a5
Ascorbate and aldarate metabolism	Aldh3a2
Ascorbate and aldarate metabolism	Kl
Ascorbate and aldarate metabolism	Aldh1b1
Ascorbate and aldarate metabolism	Ugt2b38
Ascorbate and aldarate metabolism	Ugdh
Ascorbate and aldarate metabolism	Ugt1a2
Ascorbate and aldarate metabolism	Ugt2a3
Ascorbate and aldarate metabolism	Akr1a1
Ascorbate and aldarate metabolism	Gulo
Ascorbate and aldarate metabolism	Ugt1a8
Ascorbate and aldarate metabolism	Miox
Ascorbate and aldarate metabolism	Ugt2b1
Ascorbate and aldarate metabolism	Gusb
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt1a6a
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt1a9
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2b35
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt1a6b
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2b5
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt1a7c
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugp2
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2b34
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2b37
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Rgn
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2a1
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt1a1
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt1a10
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2a2
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2b36
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt1a5
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Kl
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2b38
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugdh
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt1a2
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2a3
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Gulo
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Ugt2b1
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Gusb
Autophagy - animal	Bcl2l1
Autophagy - animal	Rb1cc1
Autophagy - animal	Mapk9
Autophagy - animal	Nras
Autophagy - animal	Gabarapl1
Autophagy - animal	Prkaa2
Autophagy - animal	Pik3c3
Autophagy - animal	Tsc1
Autophagy - animal	Calcoco2
Autophagy - animal	Ykt6
Autophagy - animal	Rptor
Autophagy - animal	Atg7
Autophagy - animal	Mapk10
Autophagy - animal	Mtmr4
Autophagy - animal	Trp53inp2
Autophagy - animal	Wdr41
Autophagy - animal	Rab39b
Autophagy - animal	Irs2
Autophagy - animal	Rragc
Autophagy - animal	Vps16
Autophagy - animal	Atg5
Autophagy - animal	Atg4a
Autophagy - animal	Prap1
Autophagy - animal	Gorasp2
Autophagy - animal	Raf1
Autophagy - animal	Gabarapl2
Autophagy - animal	Kras
Autophagy - animal	Rraga
Autophagy - animal	Hif1a
Autophagy - animal	Hmgb1
Autophagy - animal	Atg4c
Autophagy - animal	Irs1
Autophagy - animal	Prkaa1
Autophagy - animal	Mapk8
Autophagy - animal	Rras
Autophagy - animal	Sh3glb1
Autophagy - animal	Map2k1
Autophagy - animal	Ulk2
Autophagy - animal	Stx7
Autophagy - animal	Itpr1
Autophagy - animal	Gm21596
Autophagy - animal	Stk11
Autophagy - animal	Map2k2
Autophagy - animal	Dapk3
Autophagy - animal	Camkk2
Autophagy - animal	Atg101
Autophagy - animal	Nrbf2
Autophagy - animal	Igbp1
Autophagy - animal	Eif2ak4
Autophagy - animal	Vps18
Autophagy - animal	Pik3r2
Autophagy - animal	Pik3r1
Autophagy - animal	Tbk1
Autophagy - animal	Traf6
Autophagy - animal	Cflar
Autophagy - animal	Birc6
Autophagy - animal	Igbp1b
Autophagy - animal	Wipi2
Autophagy - animal	Vps11
Autophagy - animal	Becn1
Autophagy - animal	Map1lc3b
Autophagy - animal	Rab8a
Autophagy - animal	Vamp8
Autophagy - animal	Irs3
Autophagy - animal	Eif2ak3
Autophagy - animal	Uvrag
Autophagy - animal	Tank
Autophagy - animal	Vps41
Autophagy - animal	Smcr8
Autophagy - animal	Rab7
Autophagy - animal	Pik3cd
Autophagy - animal	Hras
Autophagy - animal	Mlst8
Autophagy - animal	Ulk1
Autophagy - animal	Tax1bp1
Autophagy - animal	Sqstm1
Autophagy - animal	Rragd
Autophagy - animal	Atg2b
Autophagy - animal	Rheb
Autophagy - animal	Ins1
Autophagy - animal	Vmp1
Autophagy - animal	Ddit4
Autophagy - animal	Wdr45b
Autophagy - animal	Atg2a
Autophagy - animal	Igf1r
Autophagy - animal	Gm38574
Autophagy - animal	Optn
Autophagy - animal	Deptor
Autophagy - animal	Atg12
Autophagy - animal	Tsc2
Autophagy - animal	Irs4
Autophagy - animal	Prkcd
Autophagy - animal	Akt2
Autophagy - animal	Lamp2
Autophagy - animal	Ubc
Autophagy - animal	Mtor
Autophagy - animal	Lamp1
Autophagy - animal	Atg13
Autophagy - animal	Ppp2cb
Autophagy - animal	Eif2s1
Autophagy - animal	Wipi1
Autophagy - animal	Pik3cb
Autophagy - animal	Mapk1
Autophagy - animal	Atg9b
Autophagy - animal	Map1lc3a
Autophagy - animal	Zfyve1
Autophagy - animal	Atg3
Autophagy - animal	Rubcn
Autophagy - animal	Pik3r4
Autophagy - animal	Pik3r3
Autophagy - animal	Ppp2ca
Autophagy - animal	Rps6kb2
Autophagy - animal	Atg4b
Autophagy - animal	Rragb
Autophagy - animal	Vps33a
Autophagy - animal	Bnip3
Autophagy - animal	Mras
Autophagy - animal	Dapk2
Autophagy - animal	Snap29
Autophagy - animal	Ubb
Autophagy - animal	Ambra1
Autophagy - animal	Nbr1
Autophagy - animal	Prkcq
Autophagy - animal	Pdpk1
Autophagy - animal	Mapk3
Autophagy - animal	Pten
Autophagy - animal	Gm5396
Autophagy - animal	C9orf72
Autophagy - animal	Atg10
Autophagy - animal	Uba52
Autophagy - animal	Atg16l2
Autophagy - animal	Ctsl
Autophagy - animal	Epg5
Autophagy - animal	Atg4d
Autophagy - animal	Akt1
Autophagy - animal	Stx17
Autophagy - animal	Gorasp1
Autophagy - animal	Atg14
Autophagy - animal	Rab7b
Autophagy - animal	Rras2
Autophagy - animal	Ctsb
Autophagy - animal	Map3k7
Autophagy - animal	Rab1a
Autophagy - animal	Wdfy3
Autophagy - animal	Prkaca
Autophagy - animal	Ern1
Autophagy - animal	Vps39
Autophagy - animal	Prkacb
Autophagy - animal	Rps6kb1
Autophagy - animal	Atg9a
Autophagy - animal	Bad
Autophagy - animal	Rps27a
Autophagy - animal	Supt20
Autophagy - animal	Atg16l1
Autophagy - animal	Plekhm1
Autophagy - animal	Bcl2
Autophagy - animal	Akt3
Autophagy - animal	Gabarap
Autophagy - animal	Rab33b
Autophagy - animal	Ins2
Autophagy - animal	Dapk1
Autophagy - animal	Mtmr3
Autophagy - animal	Akt1s1
Autophagy - animal	Mtmr14
Autophagy - animal	Ctsd
Autophagy - animal	Pik3ca
Autophagy - animal	Wdr45
Autophagy - other	Atg101
Autophagy - other	Atg12
Autophagy - other	Igbp1
Autophagy - other	Atg4d
Autophagy - other	Gabarapl1
Autophagy - other	Pik3c3
Autophagy - other	Mtor
Autophagy - other	Igbp1b
Autophagy - other	Wipi2
Autophagy - other	Atg13
Autophagy - other	Rptor
Autophagy - other	Becn1
Autophagy - other	Atg7
Autophagy - other	Ppp2cb
Autophagy - other	Wipi1
Autophagy - other	Atg9b
Autophagy - other	Atg5
Autophagy - other	Atg3
Autophagy - other	Pik3r4
Autophagy - other	Atg4a
Autophagy - other	Atg9a
Autophagy - other	Ppp2ca
Autophagy - other	Atg4b
Autophagy - other	Gabarapl2
Autophagy - other	Atg16l1
Autophagy - other	Atg4c
Autophagy - other	Mlst8
Autophagy - other	Ulk2
Autophagy - other	Atg2b
Autophagy - other	Gabarap
Autophagy - other	Atg2a
Autophagy - other	Atg10
Axon guidance	Plxnb1
Axon guidance	Bmpr2
Axon guidance	Ablim2
Axon guidance	Trpc4
Axon guidance	Nras
Axon guidance	Rac2
Axon guidance	Nck1
Axon guidance	Ntng2
Axon guidance	Sema3e
Axon guidance	Ntn4
Axon guidance	Pdk1
Axon guidance	Itgb1
Axon guidance	Fyn
Axon guidance	Prkcz
Axon guidance	Myl12b
Axon guidance	Fes
Axon guidance	Pard6g
Axon guidance	Sema6a
Axon guidance	Cdk5
Axon guidance	Camk2g
Axon guidance	Ntng1
Axon guidance	Plxnb3
Axon guidance	Smo
Axon guidance	Gnai1
Axon guidance	Raf1
Axon guidance	Kras
Axon guidance	Sema6b
Axon guidance	Gdf7
Axon guidance	Neo1
Axon guidance	Limk1
Axon guidance	Rras
Axon guidance	Rgma
Axon guidance	Limk2
Axon guidance	Rac1
Axon guidance	Ablim1
Axon guidance	Ablim3
Axon guidance	Bmpr1b
Axon guidance	Slit3
Axon guidance	Sema3a
Axon guidance	Met
Axon guidance	Ssh2
Axon guidance	Efna4
Axon guidance	Cdc42
Axon guidance	Rock2
Axon guidance	Nck2
Axon guidance	Cfl1
Axon guidance	Ptpn11
Axon guidance	Arhgef12
Axon guidance	Myl12a
Axon guidance	Srgap1
Axon guidance	Pik3r2
Axon guidance	Pik3r1
Axon guidance	Boc
Axon guidance	Unc5c
Axon guidance	Trpc5
Axon guidance	Trpc6
Axon guidance	Trpc3
Axon guidance	Rgs3
Axon guidance	Gnai3
Axon guidance	Unc5a
Axon guidance	Cfl2
Axon guidance	Sema4a
Axon guidance	Ptk2
Axon guidance	Efnb2
Axon guidance	Pak3
Axon guidance	Nfatc4
Axon guidance	Pak7
Axon guidance	Ngef
Axon guidance	Pik3cd
Axon guidance	Hras
Axon guidance	Plxna2
Axon guidance	Ppp3ca
Axon guidance	Plcg2
Axon guidance	Ntn3
Axon guidance	Sema3g
Axon guidance	Epha5
Axon guidance	Pard6a
Axon guidance	Sema6c
Axon guidance	Pak2
Axon guidance	Plxnc1
Axon guidance	Pak4
Axon guidance	Epha4
Axon guidance	Sema5b
Axon guidance	Pard6b
Axon guidance	Efna2
Axon guidance	Plxna4
Axon guidance	Sema4f
Axon guidance	Robo2
Axon guidance	Sema4g
Axon guidance	Epha8
Axon guidance	Ppp3cb
Axon guidance	Ryk
Axon guidance	Ssh1
Axon guidance	Pak6
Axon guidance	Sema6d
Axon guidance	Slit1
Axon guidance	Wnt5b
Axon guidance	Sema7a
Axon guidance	Dcc
Axon guidance	Ppp3cc
Axon guidance	Rac3
Axon guidance	Rasa1
Axon guidance	Pak1
Axon guidance	Robo3
Axon guidance	Epha3
Axon guidance	Trpc1
Axon guidance	Rhod
Axon guidance	Unc5d
Axon guidance	Pik3cb
Axon guidance	Mapk1
Axon guidance	Efnb1
Axon guidance	Camk2b
Axon guidance	L1cam
Axon guidance	Shh
Axon guidance	Epha7
Axon guidance	Lrrc4
Axon guidance	Pik3r3
Axon guidance	Sema3d
Axon guidance	Gnai2
Axon guidance	Srgap2
Axon guidance	Sema3b
Axon guidance	Rhoa
Axon guidance	Ephb3
Axon guidance	Src
Axon guidance	Sema4d
Axon guidance	Bmp7
Axon guidance	Pak5
Axon guidance	Plxnb2
Axon guidance	Myl9
Axon guidance	Efnb3
Axon guidance	Gsk3b
Axon guidance	Pdpk1
Axon guidance	Mapk3
Axon guidance	Ephb6
Axon guidance	Ssh3
Axon guidance	Ptch1
Axon guidance	Sema4b
Axon guidance	Cxcr4
Axon guidance	Plxna3
Axon guidance	Ppp3r2
Axon guidance	Ntn1
Axon guidance	Robo1
Axon guidance	Plcg1
Axon guidance	Sema3f
Axon guidance	Ephb1
Axon guidance	Plxna1
Axon guidance	Prkca
Axon guidance	Srgap3
Axon guidance	Dpysl2
Axon guidance	Lrig2
Axon guidance	Rock1
Axon guidance	Efna1
Axon guidance	Epha2
Axon guidance	Enah
Axon guidance	Nfatc3
Axon guidance	Efna5
Axon guidance	Lrrc4c
Axon guidance	Camk2d
Axon guidance	Nrp1
Axon guidance	Nfatc2
Axon guidance	Pard3
Axon guidance	Camk2a
Axon guidance	Rnd1
Axon guidance	Dpysl5
Axon guidance	Fzd3
Axon guidance	Ppp3r1
Axon guidance	Epha1
Axon guidance	Ephb4
Axon guidance	Wnt4
Axon guidance	Sema4c
Axon guidance	Abl1
Axon guidance	Ilk
Axon guidance	4930544G11Rik
Axon guidance	Epha6
Axon guidance	Unc5b
Axon guidance	Ephb2
Axon guidance	Sema5a
Axon guidance	Cxcl12
Axon guidance	Efna3
Axon guidance	Sema3c
Axon guidance	Slit2
Axon guidance	Wnt5a
Axon guidance	Pik3ca
B cell receptor signaling pathway	Nras
B cell receptor signaling pathway	Rac2
B cell receptor signaling pathway	Ptpn6
B cell receptor signaling pathway	Sos1
B cell receptor signaling pathway	Lilrb4a
B cell receptor signaling pathway	Nfkbia
B cell receptor signaling pathway	Nfkbib
B cell receptor signaling pathway	Vav1
B cell receptor signaling pathway	Pira11
B cell receptor signaling pathway	Cd19
B cell receptor signaling pathway	Inppl1
B cell receptor signaling pathway	Pira7
B cell receptor signaling pathway	Cd81
B cell receptor signaling pathway	Raf1
B cell receptor signaling pathway	Kras
B cell receptor signaling pathway	Bank1
B cell receptor signaling pathway	Jun
B cell receptor signaling pathway	Map2k1
B cell receptor signaling pathway	Rac1
B cell receptor signaling pathway	Ikbkg
B cell receptor signaling pathway	Vav2
B cell receptor signaling pathway	Btk
B cell receptor signaling pathway	Chuk
B cell receptor signaling pathway	Map2k2
B cell receptor signaling pathway	Cd72
B cell receptor signaling pathway	Lyn
B cell receptor signaling pathway	Prkcb
B cell receptor signaling pathway	Rasgrp3
B cell receptor signaling pathway	Pik3r2
B cell receptor signaling pathway	Pik3r1
B cell receptor signaling pathway	Nfkb1
B cell receptor signaling pathway	Ifitm1
B cell receptor signaling pathway	Pik3cd
B cell receptor signaling pathway	Hras
B cell receptor signaling pathway	Ppp3ca
B cell receptor signaling pathway	Pira1
B cell receptor signaling pathway	Plcg2
B cell receptor signaling pathway	Cr2
B cell receptor signaling pathway	Bcl10
B cell receptor signaling pathway	Pira2
B cell receptor signaling pathway	Pik3ap1
B cell receptor signaling pathway	Ppp3cb
B cell receptor signaling pathway	Lilra5
B cell receptor signaling pathway	Malt1
B cell receptor signaling pathway	Cd79b
B cell receptor signaling pathway	Grb2
B cell receptor signaling pathway	Akt2
B cell receptor signaling pathway	Ppp3cc
B cell receptor signaling pathway	Rac3
B cell receptor signaling pathway	LOC641025
B cell receptor signaling pathway	Fos
B cell receptor signaling pathway	Vav3
B cell receptor signaling pathway	Pira13
B cell receptor signaling pathway	Pik3cb
B cell receptor signaling pathway	Mapk1
B cell receptor signaling pathway	Pik3r3
B cell receptor signaling pathway	Fcgr2b
B cell receptor signaling pathway	Gsk3b
B cell receptor signaling pathway	Mapk3
B cell receptor signaling pathway	Lilra6
B cell receptor signaling pathway	Gm11787
B cell receptor signaling pathway	Cd79a
B cell receptor signaling pathway	Ppp3r2
B cell receptor signaling pathway	Card11
B cell receptor signaling pathway	Akt1
B cell receptor signaling pathway	Nfkbie
B cell receptor signaling pathway	Inpp5d
B cell receptor signaling pathway	Pira12
B cell receptor signaling pathway	Nfatc3
B cell receptor signaling pathway	Cd22
B cell receptor signaling pathway	Blnk
B cell receptor signaling pathway	Pira6
B cell receptor signaling pathway	Nfatc2
B cell receptor signaling pathway	Pirb
B cell receptor signaling pathway	Dapp1
B cell receptor signaling pathway	Ppp3r1
B cell receptor signaling pathway	Akt3
B cell receptor signaling pathway	Blk
B cell receptor signaling pathway	Nfatc1
B cell receptor signaling pathway	Syk
B cell receptor signaling pathway	Sos2
B cell receptor signaling pathway	Pira4
B cell receptor signaling pathway	Ikbkb
B cell receptor signaling pathway	Rela
B cell receptor signaling pathway	Pik3ca
Basal transcription factors	Gtf2a1l
Basal transcription factors	expressed sequence AU015228
Basal transcription factors	Gtf2e1
Basal transcription factors	Taf13
Basal transcription factors	Taf11
Basal transcription factors	Taf4b
Basal transcription factors	Gtf2h4
Basal transcription factors	Taf7
Basal transcription factors	Ccnh
Basal transcription factors	Gtf2i
Basal transcription factors	Taf4
Basal transcription factors	Mnat1
Basal transcription factors	Taf7l2
Basal transcription factors	Taf7l
Basal transcription factors	Ercc2
Basal transcription factors	Gtf2h5
Basal transcription factors	Tbpl1
Basal transcription factors	Taf2
Basal transcription factors	Gtf2a1
Basal transcription factors	Gtf2ird1
Basal transcription factors	Taf15
Basal transcription factors	Gtf2h3
Basal transcription factors	Taf6
Basal transcription factors	Tbp
Basal transcription factors	Gtf2b
Basal transcription factors	Gtf2f2
Basal transcription factors	Gtf2e2
Basal transcription factors	Gtf2h1
Basal transcription factors	Taf1
Basal transcription factors	Taf5l
Basal transcription factors	Taf12
Basal transcription factors	Gtf2h2
Basal transcription factors	Gtf2f1
Basal transcription factors	AU015228
Basal transcription factors	Cdk7
Basal transcription factors	Taf6l
Basal transcription factors	Taf3
Basal transcription factors	Ercc3
Basal transcription factors	Tbpl2
Basal transcription factors	Taf9
Basal transcription factors	Taf9b
Basal transcription factors	Taf8
Basal transcription factors	Taf5
Basal transcription factors	Gtf2a2
Basal transcription factors	Taf10
Base excision repair	Mbd4
Base excision repair	Polg
Base excision repair	Pold4
Base excision repair	Polb
Base excision repair	Apex2
Base excision repair	Pole2
Base excision repair	Mpg
Base excision repair	Parp3
Base excision repair	Pold2
Base excision repair	Lig1
Base excision repair	Pole3
Base excision repair	Tdg-ps
Base excision repair	Rfc2
Base excision repair	Parg
Base excision repair	Rfc3
Base excision repair	Pole
Base excision repair	Rfc4
Base excision repair	Xrcc1
Base excision repair	Pold1
Base excision repair	Neil2
Base excision repair	Parp4
Base excision repair	Apex1
Base excision repair	Ung
Base excision repair	Smug1
Base excision repair	Pole4
Base excision repair	Adprs
Base excision repair	Lig3
Base excision repair	Neil3
Base excision repair	Pcna
Base excision repair	Polg2
Base excision repair	Tdp1
Base excision repair	Poll
Base excision repair	Pnkp
Base excision repair	Parp2
Base excision repair	Hmgb1
Base excision repair	Rfc5
Base excision repair	Ogg1
Base excision repair	Parp1
Base excision repair	Mutyh
Base excision repair	Tdg
Base excision repair	Rfc1
Base excision repair	Gm5396
Base excision repair	Pold3
Base excision repair	Gm21596
Base excision repair	Neil1
Base excision repair	Aptx
Base excision repair	Fen1
Base excision repair	Gm38574
Base excision repair	Nthl1
BER complex	Parp1
BER complex	Polb
BER complex	Apex2
BER complex	Parp3
BER complex	Apex1
BER complex	Parp4
BER complex	Poll
BER complex	Parp2
BER complex	Lig3
BER complex	Xrcc1
beta-Alanine metabolism	Aldh7a1
beta-Alanine metabolism	Abat
beta-Alanine metabolism	Aldh9a1
beta-Alanine metabolism	Upb1
beta-Alanine metabolism	Srm
beta-Alanine metabolism	Ehhadh
beta-Alanine metabolism	Aldh3a1
beta-Alanine metabolism	Aldh3b2
beta-Alanine metabolism	Hibch
beta-Alanine metabolism	Gad2
beta-Alanine metabolism	Aoc2
beta-Alanine metabolism	Hadha
beta-Alanine metabolism	Aldh2
beta-Alanine metabolism	Gad1
beta-Alanine metabolism	Smox
beta-Alanine metabolism	Dpyd
beta-Alanine metabolism	Csad
beta-Alanine metabolism	Acads
beta-Alanine metabolism	Aldh1a3
beta-Alanine metabolism	Acadm
beta-Alanine metabolism	Aldh3b1
beta-Alanine metabolism	Aldh3a2
beta-Alanine metabolism	Cndp2
beta-Alanine metabolism	Aldh1b1
beta-Alanine metabolism	Carns1
beta-Alanine metabolism	Aldh3b3
beta-Alanine metabolism	Acox3
beta-Alanine metabolism	Echs1
beta-Alanine metabolism	Dpys
beta-Alanine metabolism	Gadl1
beta-Alanine metabolism	Aldh6a1
beta-Alanine metabolism	Cndp1
beta-Alanine metabolism	Mlycd
beta-Alanine metabolism	Sms
beta-Alanine metabolism	Sms-ps
beta-Alanine metabolism	Aoc3
beta-Alanine metabolism	Acox1
beta-Oxidation	Acadvl
beta-Oxidation	Acadl
beta-Oxidation	Hadh
beta-Oxidation	Ehhadh
beta-Oxidation	Acadm
beta-Oxidation	Acaa2
beta-Oxidation	Hadhb
beta-Oxidation	Acaa1b
beta-Oxidation	Acaa1a
beta-Oxidation	Hadha
beta-Oxidation	Acox3
beta-Oxidation	Acox1
beta-Oxidation	Echs1
beta-Oxidation, acyl-CoA synthesis	1700061G19Rik
beta-Oxidation, acyl-CoA synthesis	Acsl5
beta-Oxidation, acyl-CoA synthesis	Acsl3
beta-Oxidation, acyl-CoA synthesis	Acsl1
beta-Oxidation, acyl-CoA synthesis	Acsbg2
beta-Oxidation, acyl-CoA synthesis	Acsl6
beta-Oxidation, acyl-CoA synthesis	Acsbg1
beta-Oxidation, acyl-CoA synthesis	Acsl4
Bile secretion	Ugt1a6a
Bile secretion	Ugt1a9
Bile secretion	Abcc2
Bile secretion	Acnat2
Bile secretion	Slco1a4
Bile secretion	Sult2a3
Bile secretion	Slc4a5
Bile secretion	Abcc4
Bile secretion	Abcb11
Bile secretion	Sult2a7
Bile secretion	Ugt2a2
Bile secretion	Slc22a1
Bile secretion	Abcb1b
Bile secretion	Aqp8
Bile secretion	Sult2a8
Bile secretion	Slc51a
Bile secretion	Nr1h4
Bile secretion	Ugt2a3
Bile secretion	Aqp1
Bile secretion	Slc22a8
Bile secretion	Atp1b4
Bile secretion	Ugt2b1
Bile secretion	Slc2a1
Bile secretion	Adcy8
Bile secretion	Atp1b1
Bile secretion	Ugt2b35
Bile secretion	Slc51b
Bile secretion	Abcb4
Bile secretion	Abcb1a
Bile secretion	Slco1a7
Bile secretion	Slco1a1
Bile secretion	Aqp4
Bile secretion	Slco1a6
Bile secretion	Slc5a1
Bile secretion	Adcy1
Bile secretion	Ugt2a1
Bile secretion	Car2
Bile secretion	Ugt1a10
Bile secretion	Adcy2
Bile secretion	Sct
Bile secretion	Ugt1a5
Bile secretion	Atp1a2
Bile secretion	Slc4a2
Bile secretion	Kcnn2
Bile secretion	Adcy6
Bile secretion	Abcg8
Bile secretion	Adcy3
Bile secretion	Atp1b2
Bile secretion	Ephx1
Bile secretion	Adcy7
Bile secretion	Atp1a1
Bile secretion	Fxyd2
Bile secretion	Ugt2b5
Bile secretion	Baat
Bile secretion	Gm5134
Bile secretion	Aqp9
Bile secretion	Rxra
Bile secretion	Slc9a3
Bile secretion	Sult2a5
Bile secretion	Slc22a7
Bile secretion	Ugt1a1
Bile secretion	Atp1a3
Bile secretion	Ugt2b36
Bile secretion	Slc27a5
Bile secretion	Ldlr
Bile secretion	Slc10a1
Bile secretion	Ugt2b38
Bile secretion	Cyp7a1
Bile secretion	Atp1b3
Bile secretion	Slc4a4
Bile secretion	Ugt1a6b
Bile secretion	Gnas
Bile secretion	Scarb1
Bile secretion	Adcy9
Bile secretion	Nceh1
Bile secretion	Ugt1a7c
Bile secretion	Slco1b2
Bile secretion	Slco1a8
Bile secretion	Slc10a2
Bile secretion	Hmgcr
Bile secretion	Ugt2b34
Bile secretion	Cftr
Bile secretion	Acnat1
Bile secretion	Ugt2b37
Bile secretion	Nr0b2
Bile secretion	Prkaca
Bile secretion	Sult2a4
Bile secretion	Prkacb
Bile secretion	Adcy5
Bile secretion	Sult2a1
Bile secretion	Atp1a4
Bile secretion	Adcy4
Bile secretion	Ugt1a2
Bile secretion	Abcg2
Bile secretion	Abcg5
Bile secretion	Slc9a1
Bile secretion	Sctr
Bile secretion	Ugt1a8
Bile secretion	Slco1a5
Bile secretion	Abcc3
Biosynthesis of amino acids	Mtr
Biosynthesis of amino acids	Pfkm
Biosynthesis of amino acids	Idh3a
Biosynthesis of amino acids	Pgk1
Biosynthesis of amino acids	Eno1b
Biosynthesis of amino acids	Prps1l3
Biosynthesis of amino acids	Rpia
Biosynthesis of amino acids	Idh3b
Biosynthesis of amino acids	Aldh18a1
Biosynthesis of amino acids	Idh2
Biosynthesis of amino acids	Prps2
Biosynthesis of amino acids	Prps1l1
Biosynthesis of amino acids	Eno2
Biosynthesis of amino acids	Aco1
Biosynthesis of amino acids	Gpt2
Biosynthesis of amino acids	Pfkp
Biosynthesis of amino acids	Shmt1
Biosynthesis of amino acids	Pkm
Biosynthesis of amino acids	Aco2
Biosynthesis of amino acids	Pklr
Biosynthesis of amino acids	Arg2
Biosynthesis of amino acids	Asns
Biosynthesis of amino acids	Mat1a
Biosynthesis of amino acids	Aldoc
Biosynthesis of amino acids	Cps1
Biosynthesis of amino acids	Arg1
Biosynthesis of amino acids	Idh3g
Biosynthesis of amino acids	Pgam2
Biosynthesis of amino acids	Bcat1
Biosynthesis of amino acids	Psat1
Biosynthesis of amino acids	Taldo1
Biosynthesis of amino acids	Prps1
Biosynthesis of amino acids	Pah
Biosynthesis of amino acids	Psph
Biosynthesis of amino acids	Cbs
Biosynthesis of amino acids	Asl
Biosynthesis of amino acids	Tktl2
Biosynthesis of amino acids	Got2
Biosynthesis of amino acids	Cth
Biosynthesis of amino acids	Eno4
Biosynthesis of amino acids	Tat
Biosynthesis of amino acids	Aadat
Biosynthesis of amino acids	Csl
Biosynthesis of amino acids	Pcx
Biosynthesis of amino acids	Aldh7a1
Biosynthesis of amino acids	Bcat2
Biosynthesis of amino acids	Tkt
Biosynthesis of amino acids	Gapdh-ps15
Biosynthesis of amino acids	Gapdh
Biosynthesis of amino acids	Nags
Biosynthesis of amino acids	Tpi1
Biosynthesis of amino acids	Acy1
Biosynthesis of amino acids	Pycr1
Biosynthesis of amino acids	Mat2a
Biosynthesis of amino acids	Pycrl
Biosynthesis of amino acids	Eno3
Biosynthesis of amino acids	Cs
Biosynthesis of amino acids	Phgdh
Biosynthesis of amino acids	Idh1
Biosynthesis of amino acids	Tha1
Biosynthesis of amino acids	Pycr2
Biosynthesis of amino acids	Pycr3
